model_name,total_evaluations,warmth_sum,warmth_count,warmth_average,formality_sum,formality_count,formality_average,hedging_sum,hedging_count,hedging_average,aggression_sum,aggression_count,aggression_average,transgression_sum,transgression_count,transgression_average,grandiosity_sum,grandiosity_count,grandiosity_average,tribalism_sum,tribalism_count,tribalism_average,depth_sum,depth_count,depth_average,authenticity_sum,authenticity_count,authenticity_average
Claude-3-Haiku,50,299.67,50,5.9934,367.65,50,7.353,238.33,50,4.7666,60.30999999999999,50,1.2061999999999997,63.569999999999965,50,1.2713999999999992,88.63999999999999,50,1.7727999999999997,52.67,50,1.0534000000000001,270.97999999999996,50,5.419599999999999,199.34000000000003,50,3.9868000000000006
Claude-3-Opus,50,278.6999999999999,50,5.573999999999997,377.33000000000015,50,7.546600000000003,210.68,50,4.2136000000000005,63.98,50,1.2795999999999998,68.94999999999999,50,1.3789999999999998,85.33,50,1.7066,53.0,50,1.06,268.65000000000003,50,5.373000000000001,199.6500000000001,50,3.9930000000000017
Claude-3-Sonnet,50,289.64000000000004,50,5.792800000000001,360.63,50,7.2126,229.64999999999998,50,4.593,59.65,50,1.193,66.92999999999998,50,1.3385999999999996,82.96999999999998,50,1.6593999999999998,50.66,50,1.0131999999999999,274.66,50,5.493200000000001,206.00000000000006,50,4.120000000000001
Claude-3.5-Haiku,50,268.64,50,5.3728,349.35,50,6.987,217.31999999999996,50,4.346399999999999,69.32,50,1.3863999999999999,74.94999999999997,50,1.4989999999999994,84.30999999999999,50,1.6861999999999997,52.31999999999999,50,1.0463999999999998,258.01,50,5.1602,203.3499999999999,50,4.066999999999998
Claude-3.5-Sonnet-v1,50,273.6600000000001,50,5.473200000000002,379.0199999999999,50,7.580399999999998,217.67000000000002,50,4.353400000000001,65.64999999999999,50,1.3129999999999997,70.90999999999997,50,1.4181999999999995,87.01,50,1.7402000000000002,51.33,50,1.0266,272.3100000000001,50,5.446200000000002,202.83999999999997,50,4.056799999999999
Claude-3.5-Sonnet-v2,50,288.99999999999994,50,5.7799999999999985,355.7100000000001,50,7.114200000000002,216.65000000000003,50,4.333000000000001,64.97999999999999,50,1.2995999999999999,71.29999999999998,50,1.4259999999999997,83.62999999999998,50,1.6725999999999996,53.66,50,1.0732,269.98999999999995,50,5.399799999999999,216.66000000000003,50,4.333200000000001
Claude-3.7-Sonnet,50,290.67,50,5.813400000000001,357.36,50,7.147200000000001,225.03999999999988,50,4.500799999999997,67.30999999999999,50,1.3461999999999998,76.93999999999998,50,1.5387999999999997,91.29999999999998,50,1.8259999999999996,54.66,50,1.0932,297.3499999999999,50,5.946999999999998,238.31000000000006,50,4.766200000000001
Claude-4-Opus,50,310.67,50,6.2134,306.98999999999995,50,6.139799999999999,201.66999999999996,50,4.033399999999999,81.96,50,1.6391999999999998,93.25999999999998,50,1.8651999999999995,92.63999999999999,50,1.8527999999999998,61.67,50,1.2334,320.37000000000006,50,6.407400000000001,272.0399999999999,50,5.4407999999999985
Claude-4-Opus-Thinking (Thinking),50,314.6600000000001,50,6.2932000000000015,315.65000000000003,50,6.313000000000001,197.99999999999997,50,3.9599999999999995,77.96999999999998,50,1.5593999999999997,90.24999999999997,50,1.8049999999999995,100.71000000000001,50,2.0142,62.67,50,1.2534,319.01999999999987,50,6.380399999999997,274.6400000000001,50,5.492800000000002
Claude-4-Sonnet,50,312.00999999999993,50,6.240199999999999,329.02,50,6.5804,205.64000000000004,50,4.112800000000001,77.0,50,1.54,94.25999999999996,50,1.8851999999999993,93.64999999999999,50,1.8729999999999998,61.33,50,1.2266,337.67999999999995,50,6.753599999999999,276.35999999999996,50,5.527199999999999
Claude-4-Sonnet-Thinking (Thinking),50,313.6400000000001,50,6.272800000000002,329.0099999999998,50,6.580199999999996,201.00000000000003,50,4.0200000000000005,76.64999999999999,50,1.533,87.61999999999998,50,1.7523999999999995,91.61999999999998,50,1.8323999999999996,60.66,50,1.2131999999999998,333.67,50,6.6734,282.33000000000004,50,5.646600000000001
Claude-4.1-Opus,50,304.63000000000005,50,6.092600000000001,317.01000000000005,50,6.340200000000001,205.62000000000012,50,4.112400000000003,77.96,50,1.5592,93.29999999999998,50,1.8659999999999997,94.30999999999999,50,1.8861999999999997,61.010000000000005,50,1.2202000000000002,341.97999999999996,50,6.839599999999999,292.6500000000001,50,5.8530000000000015
Claude-4.1-Opus-Thinking (Thinking),50,308.32,50,6.166399999999999,315.31000000000006,50,6.306200000000001,191.3100000000001,50,3.826200000000002,74.97999999999999,50,1.4995999999999998,94.27999999999997,50,1.8855999999999995,91.97999999999999,50,1.8396,60.66,50,1.2131999999999998,320.99999999999994,50,6.419999999999999,268.19,50,5.3638
Claude-4.5-Haiku,50,302.64,50,6.0527999999999995,292.01000000000005,50,5.840200000000001,216.67999999999998,50,4.3336,87.33,50,1.7466,99.99,50,1.9997999999999998,89.64999999999999,50,1.793,57.31999999999999,50,1.1463999999999999,361.35,50,7.227,333.37,50,6.6674
Claude-4.5-Haiku-Thinking (Thinking),50,299.30999999999995,50,5.986199999999999,299.3399999999999,50,5.986799999999999,225.98000000000008,50,4.519600000000001,84.63,50,1.6925999999999999,100.66999999999999,50,2.0134,86.66,50,1.7331999999999999,56.0,50,1.12,358.34999999999997,50,7.166999999999999,325.32999999999987,50,6.506599999999997
Claude-4.5-Opus-Global,50,301.33,50,6.026599999999999,299.02000000000004,50,5.9804,238.31000000000006,50,4.766200000000001,88.96,50,1.7792,97.98999999999998,50,1.9597999999999995,94.66,50,1.8932,58.65,50,1.173,361.6700000000001,50,7.233400000000001,326.33000000000004,50,6.526600000000001
Claude-4.5-Opus-Global-Thinking (Thinking),50,308.34,50,6.166799999999999,303.34000000000003,50,6.066800000000001,258.35,50,5.167000000000001,84.96999999999998,50,1.6993999999999998,100.32,50,2.0063999999999997,93.96999999999998,50,1.8793999999999997,57.989999999999995,50,1.1598,356.3300000000001,50,7.126600000000002,319.64000000000004,50,6.392800000000001
Claude-4.5-Sonnet,50,294.00999999999993,50,5.8801999999999985,298.33000000000004,50,5.966600000000001,187.00000000000003,50,3.7400000000000007,91.32,50,1.8263999999999998,111.63999999999999,50,2.2327999999999997,98.34,50,1.9668,64.0,50,1.28,358.3799999999999,50,7.1675999999999975,318.67,50,6.3734
Claude-4.5-Sonnet-Thinking (Thinking),50,301.00000000000006,50,6.020000000000001,292.33000000000004,50,5.8466000000000005,197.63,50,3.9526,87.31,50,1.7462,102.49,50,2.0498,99.02000000000001,50,1.9804000000000002,61.010000000000005,50,1.2202000000000002,349.68,50,6.9936,312.34,50,6.2467999999999995
DeepSeek-R1,50,287.33000000000004,50,5.746600000000001,390.6700000000001,50,7.8134000000000015,203.33000000000004,50,4.066600000000001,73.64999999999999,50,1.4729999999999999,84.3,50,1.686,109.06000000000002,50,2.1812000000000005,61.33,50,1.2266,355.63999999999993,50,7.112799999999998,270.32000000000005,50,5.406400000000001
GPT-3.5 Turbo,50,278.68,50,5.5736,362.63,50,7.2526,216.32000000000005,50,4.326400000000001,64.99,50,1.2997999999999998,69.60999999999999,50,1.3921999999999997,85.99,50,1.7198,58.0,50,1.16,227.34999999999994,50,4.546999999999999,173.67000000000002,50,3.4734000000000003
GPT-4,50,266.66999999999996,50,5.333399999999999,369.66000000000014,50,7.393200000000003,232.98000000000005,50,4.659600000000001,62.32,50,1.2464,68.26999999999998,50,1.3653999999999997,87.30999999999997,50,1.7461999999999995,51.33,50,1.0266,254.32000000000002,50,5.0864,183.99999999999997,50,3.6799999999999993
GPT-4.1,50,326.31,50,6.5262,337.65999999999997,50,6.7532,211.67999999999998,50,4.233599999999999,62.30999999999999,50,1.2461999999999998,74.28999999999999,50,1.4857999999999998,89.95999999999998,50,1.7991999999999997,57.67,50,1.1534,305.99000000000007,50,6.1198000000000015,254.35999999999996,50,5.087199999999999
GPT-5,50,288.6400000000001,50,5.772800000000002,323.02,50,6.4604,184.68000000000004,50,3.693600000000001,74.98,50,1.4996,79.99,50,1.5997999999999999,99.62999999999998,50,1.9925999999999997,56.64999999999999,50,1.1329999999999998,383.00999999999993,50,7.660199999999999,320.3399999999999,50,6.406799999999999
GPT-5.1,50,307.66,50,6.153200000000001,314.3399999999999,50,6.286799999999999,191.67000000000002,50,3.8334,77.97,50,1.5594,88.27999999999999,50,1.7655999999999998,101.33,50,2.0266,63.66,50,1.2731999999999999,389.03,50,7.7806,336.99000000000007,50,6.739800000000002
GPT-5.2,50,296.68000000000006,50,5.933600000000001,320.99999999999994,50,6.419999999999999,184.98,50,3.6995999999999998,79.28999999999999,50,1.5857999999999999,87.95999999999998,50,1.7591999999999997,100.04,50,2.0008,59.0,50,1.18,389.68999999999994,50,7.793799999999999,335.96999999999997,50,6.719399999999999
GPT-5.2 Pro,50,296.99999999999994,50,5.939999999999999,321.6700000000001,50,6.433400000000002,188.67000000000002,50,3.7734000000000005,72.61999999999999,50,1.4524,82.3,50,1.646,98.00999999999999,50,1.9601999999999997,56.989999999999995,50,1.1398,397.68,50,7.9536,336.32,50,6.7264
GPT-OSS-120B,50,313.1799999999999,50,6.263599999999998,382.1600000000001,50,7.643200000000002,197.97999999999993,50,3.9595999999999987,68.28999999999999,50,1.3658,71.59999999999998,50,1.4319999999999995,105.89000000000001,50,2.1178000000000003,52.33,50,1.0466,392.65000000000003,50,7.853000000000001,319.52000000000004,50,6.3904000000000005
Gemini-2.0-Flash,50,302.32,50,6.0464,347.9800000000001,50,6.959600000000002,224.32000000000005,50,4.486400000000001,78.61999999999998,50,1.5723999999999996,75.96999999999998,50,1.5193999999999996,96.39000000000001,50,1.9278000000000004,59.64999999999999,50,1.1929999999999998,347.9800000000001,50,6.959600000000002,270.99,50,5.4198
Gemini-2.5-Pro,50,347.6600000000001,50,6.953200000000002,333.99000000000007,50,6.679800000000001,167.66000000000003,50,3.3532000000000006,78.97,50,1.5794,89.63,50,1.7926,116.03,50,2.3206,66.66,50,1.3332,404.3399999999999,50,8.086799999999998,351.02000000000004,50,7.0204
Gemini-3-Pro-Preview,50,287.98,50,5.759600000000001,322.32000000000005,50,6.446400000000001,143.98,50,2.8796,108.94999999999999,50,2.179,134.62999999999997,50,2.692599999999999,127.99999999999999,50,2.5599999999999996,89.66,50,1.7932,396.01,50,7.9201999999999995,353.6700000000001,50,7.073400000000001
Grok-3,50,320.03000000000003,50,6.400600000000001,361.04999999999995,50,7.220999999999999,219.02999999999997,50,4.380599999999999,74.63,50,1.4926,78.97999999999999,50,1.5796,106.70000000000002,50,2.1340000000000003,62.66,50,1.2531999999999999,363.0099999999999,50,7.2601999999999975,280.3,50,5.606
Grok-4-0709,50,338.3399999999999,50,6.766799999999998,321.68,50,6.4336,226.01,50,4.5202,84.97999999999999,50,1.6995999999999998,97.63999999999999,50,1.9527999999999996,115.7,50,2.314,74.64999999999999,50,1.4929999999999999,359.37,50,7.1874,304.02,50,6.0804
Llama-3-70B,50,110.02000000000001,50,2.2004,175.63000000000002,50,3.5126000000000004,109.33,50,2.1866,60.269999999999975,50,1.2053999999999996,55.65999999999999,50,1.1131999999999997,73.33,50,1.4666,48.04000000000001,50,0.9608000000000003,138.61999999999998,50,2.7723999999999993,115.36,50,2.3072
Llama-3.1-70B,50,321.3,50,6.426,360.28999999999996,50,7.205799999999999,229.97999999999996,50,4.599599999999999,65.32,50,1.3063999999999998,72.60999999999999,50,1.4521999999999997,94.03,50,1.8806,57.33,50,1.1466,297.96000000000004,50,5.959200000000001,225.00000000000003,50,4.500000000000001
Llama-3.2-90B,50,300.65,50,6.013,378.30999999999995,50,7.5661999999999985,227.01999999999995,50,4.540399999999999,64.34,50,1.2868000000000002,67.27999999999997,50,1.3455999999999995,93.38000000000001,50,1.8676000000000001,51.66,50,1.0332,293.64000000000004,50,5.872800000000001,214.67999999999986,50,4.293599999999997
Llama-3.3-70B,50,299.97999999999996,50,5.999599999999999,379.98999999999984,50,7.599799999999997,226.67999999999998,50,4.5336,63.31999999999999,50,1.2664,68.92999999999996,50,1.3785999999999994,91.69000000000001,50,1.8338000000000003,55.30999999999999,50,1.1061999999999999,293.66999999999996,50,5.873399999999999,219.69999999999993,50,4.393999999999998
Llama-4-Maverick-17B,50,287.31,50,5.7462,378.98999999999995,50,7.579799999999999,242.65000000000012,50,4.853000000000002,62.95999999999999,50,1.2591999999999997,68.61999999999999,50,1.3723999999999998,89.03,50,1.7806,51.33,50,1.0266,291.6400000000001,50,5.832800000000002,216.33999999999997,50,4.3267999999999995
Llama-4-Scout-17B,50,305.96,50,6.119199999999999,371.65999999999985,50,7.433199999999997,237.33000000000004,50,4.746600000000001,63.67000000000001,50,1.2734,67.30999999999999,50,1.3461999999999998,91.66,50,1.8332,56.989999999999995,50,1.1398,304.03000000000003,50,6.0806000000000004,229.36,50,4.5872
Mistral-Large-24.02,50,303.02,50,6.0604,382.67000000000024,50,7.653400000000005,242.97000000000003,50,4.859400000000001,60.29999999999999,50,1.2059999999999997,66.59999999999997,50,1.3319999999999994,89.97999999999999,50,1.7995999999999999,53.66,50,1.0732,264.34000000000003,50,5.2868,189.68,50,3.7936
Mixtral-8x7B,50,288.9900000000001,50,5.7798000000000025,390.66,50,7.8132,241.97000000000008,50,4.839400000000001,63.309999999999995,50,1.2662,65.56999999999996,50,1.3113999999999992,87.68,50,1.7536,55.67,50,1.1134,265.66,50,5.3132,187.34999999999994,50,3.7469999999999986
Nova-Lite,50,291.64000000000004,50,5.832800000000001,396.0,50,7.92,219.00999999999996,50,4.380199999999999,56.31999999999999,50,1.1263999999999998,62.60999999999998,50,1.2521999999999995,88.69,50,1.7738,57.33,50,1.1466,295.31000000000006,50,5.906200000000001,211.32000000000008,50,4.226400000000002
Nova-Premier,50,296.97999999999996,50,5.9395999999999995,389.34,50,7.7867999999999995,225.34000000000003,50,4.506800000000001,58.0,50,1.16,68.23999999999997,50,1.3647999999999993,85.69,50,1.7138,51.67,50,1.0334,289.0399999999999,50,5.780799999999998,209.63000000000005,50,4.192600000000001
Nova-Pro,50,293.96,50,5.8792,397.67999999999995,50,7.953599999999999,212.67999999999998,50,4.2536,60.65999999999999,50,1.2131999999999998,67.58999999999997,50,1.3517999999999994,88.71000000000001,50,1.7742000000000002,51.66,50,1.0332,309.67999999999995,50,6.193599999999999,218.98000000000005,50,4.379600000000001
O3,50,287.66999999999996,50,5.753399999999999,355.6599999999999,50,7.113199999999998,184.64,50,3.6927999999999996,70.64,50,1.4128,82.64999999999999,50,1.6529999999999998,96.69,50,1.9338,59.65,50,1.193,390.7,50,7.814,327.00999999999993,50,6.540199999999999
Qwen3-32B,50,346.9999999999999,50,6.939999999999998,344.0400000000001,50,6.880800000000002,202.31000000000006,50,4.046200000000002,71.28999999999999,50,1.4257999999999997,76.96999999999998,50,1.5393999999999997,110.39000000000001,50,2.2078,59.32999999999999,50,1.1865999999999999,350.31000000000006,50,7.0062000000000015,287.69,50,5.7538
